ident,latitude_deg,longitude_deg,term
CKJ9,50.7089,-103.197,
CRB4,50.7044,-71.1625,
CKR4,50.7033,-98.0567,
CYZT,50.6806,-127.367,
CTB6,50.6744,-59.3836,
CKH8,50.6675,-104.789,
CFY6,50.6544,-114.344,
CJK4,50.6428,-102.1,
CYGM,50.6281,-97.0433,
UKLR,50.6071,26.1416,
EBCV,50.5758,3.831,
CRM2,50.5736,-99.3614,
EGLA,50.4997,-4.6658,
CKH2,50.4647,-101.554,
CPB5,50.4611,-104.431,
CYQR,50.4319,-104.666,
UHBB,50.4254,127.412,
CEX9,50.4194,-113.541,
UHKK,50.409,136.934,
CJP7,50.3967,-95.735,
CJY5,50.3961,-100.425,
CYMJ,50.3303,-105.559,
UAUR,50.3186,66.9528,
CYYN,50.2919,-107.691,
CYYW,50.2903,-88.9097,
CJU5,50.2719,-99.7631,
CAQ5,50.2664,-117.813,
CYZV,50.2233,-66.2656,
CYQN,50.1828,-86.6964,
CJB5,50.1686,-101.644,
CJR5,50.1636,-98.9425,
CYXL,50.1139,-91.9053,
CKD5,50.0992,-102.607,
CJU3,50.0964,-98.5008,
EGDR,50.0861,-5.2557,
CJK5,50.0578,-108.49,
ETOU,50.0498,8.3254,
CEN6,50.0333,-112.083,
CCI9,50.0203,-124.984,
LKPD,50.0134,15.7386,
CEJ4,50.0047,-113.63,
VCCK,5.9937,80.3203,
FEFO,5.958,15.637,
WBKS,5.9009,118.059,
FEGM,5.694,22.801,
FEGI,5.683,20.05,
HAKL,5.657,44.35,
DGAA,5.6052,-0.1668,
WMAL,5.5387,102.195,
FKKU,5.5369,10.3546,
FKAO,5.5042,14.0983,
SVYI,5.4583,-65.8983,
SVRQ,5.4333,-66.1342,
FEGB,5.433,27.217,
DNIM,5.4271,7.206,
WMKN,5.3826,103.103,
WMKP,5.2971,100.277,
SYKW,5.2833,-58.05,
WBKH,5.0878,119.094,
SJLO,5.0842,-60.3789,
DNPO,5.0155,6.9496,
CJZ2,49.9925,-98.3031,
CKF6,49.9667,-98.75,
CKA8,49.9244,-97.5489,
CYWG,49.91,-97.2399,
CBR2,49.9036,-116.935,
CJQ4,49.8958,-109.475,
CKQ7,49.8797,-93.4364,
CKN5,49.8689,-103.445,
CJM4,49.8662,-106.5711,
CYPW,49.8342,-124.5,
CED5,49.8267,-112.185,
CYQK,49.7883,-94.3631,
CKR7,49.7847,-100.956,
CYGQ,49.7783,-86.9394,
CYMT,49.7719,-74.5281,
CYNM,49.7617,-77.8028,
CJN4,49.7347,-105.947,
CYHF,49.7142,-83.6861,
CEY3,49.7,-113.417,
ZMMN,49.6633,100.099,
CTN6,49.6597,-98.6653,
CKC9,49.6464,-104.666,
CJQ3,49.6444,-102.287,
CYYM,49.6364,-114.094,
CKU2,49.6311,-98.6664,
CRP2,49.5806,-101.053,
CJJ2,49.55,-99.3333,
CJB3,49.5494,-96.6794,
CJT8,49.5092,-97.8506,
CKK7,49.4939,-96.6989,
CFD4,49.4831,-111.494,
CJS7,49.4803,-98.015,
CYYF,49.4631,-119.602,
CKF2,49.4606,-104.272,
CAP3,49.4606,-123.719,
CKJ2,49.4531,-97.4225,
CKT5,49.45,-100.55,
CJH4,49.445,-106.932,
CKS6,49.41,-103.144,
CKD7,49.4083,-97.9906,
CKC8,49.4003,-98.6925,
CKM2,49.39,-93.9953,
CEP6,49.2933,-112.189,
CKA4,49.2808,-96.5011,
CJT5,49.2617,-101.014,
CJW2,49.2333,-102.15,
EDDR,49.2146,7.1095,
EGJJ,49.2079,-2.1955,
CYHN,49.1931,-84.7589,
CSL9,49.1844,-68.3625,
CAU3,49.1733,-119.551,
CBQ2,49.1675,-122.555,
CKZ7,49.1669,-97.9203,
CKC7,49.1667,-105.933,
CJS5,49.1517,-99.6903,
LKTB,49.1513,16.6944,
CJJ4,49.1506,-100.501,
CKZ6,49.1472,-98.8808,
CFQ3,49.1447,-112.084,
CJA5,49.1403,-93.9169,
CYCN,49.1056,-81.0136,
CYMG,49.0839,-85.8606,
CRB5,49.0789,-62.2369,
CCP2,49.056,-55.4477,
CKK4,49.0389,-102.976,
48Y,48.9996,-95.9826,
6NA0,48.9931,-102.738,
38W,48.9559,-122.458,
CJT7,48.9442,-90.5086,
K96D,48.9406,-97.9028,
7NA9,48.9283,-100.578,
WN08,48.9148,-122.113,
KD64,48.9134,-101.033,
WN35,48.9087,-122.565,
8ND0,48.9014,-99.0168,
NA07,48.8864,-100.695,
7WA3,48.8861,-122.329,
UKLI,48.8842,24.6861,
80ND,48.8786,-103.37,
4NA3,48.8572,-101.302,
CYME,48.8569,-67.4533,
5ND3,48.8555,-97.322,
ZMBN,48.855,103.476,
7ND8,48.8522,-98.7482,
09S,48.8409,-117.284,
26MT,48.8356,-110.442,
2ND9,48.8167,-101.917,
MT60,48.8144,-114.354,
87MN,48.8103,-95.2016,
5B4,48.8097,-102.245,
KBLI,48.7928,-122.538,
01MT,48.7891,-114.88,
9ND8,48.7855,-97.6723,
